transit,proximity_score,access,street,neighbourhood,city,state,zipcode,market,smart_location,country_code,country,ZRENT,cost_property,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_score,amenities,square_feet,price,yearly_price,ROI,weekly_price,monthly_price,security_deposit,cleaning_fee,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_communication,review_scores_location,pets,first_review,apartment_age
"Bike rental- Public transportation, Uber and Lyft, and by foot. Travel by book, imagination or a short sweet nap at the Gazebo.",4,"Guest access to Main home and backyard. Corn Hole and and Disc Catcher, and a Sauna.","Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"2,200.00",583034,30.26775,-97.72695,House,Entire home/apt,12,3,5,12,52,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""Children’s books and toys"",""Babysitter recommendations"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Host greets you"",""Handheld shower head"",""Full kitchen""}",3200,821,299665,413.9751713,4000,12000,0,200,19,26,42,305,99,10,10,1,12-04-2015,2015
"We are one and a half blocks away from the Number 17 and 22 bus.  We are a mile from the Austin Convention Center, 10 minutes from the airport.",2,"Wireless internet, washer/dryer, fire pit, driveway that fits 3 cars.  Please do not smoke inside the house.","Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"2,400.00",688578,30.25517,-97.72458,House,Entire home/apt,8,2,3,5,27,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",Oven,""Luggage dropoff allowed"",""Host greets you""}",,400,146000,112.0311715,,,500,125,0,0,0,0,99,10,9,0,17-03-2011,2011
5 -10 minutes walk to downtown,4,"Front yard,back yard  All house","Austin, TX, United States",Travis Heights,Austin,TX,78704,Austin,"Austin, TX",US,United States,"2,200.00",1063975,30.25154,-97.74157,House,Entire home/apt,3,1,1,1,27,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,""Pets live on this property"",Cat(s),Heating,Washer,Dryer,Shampoo,Hangers,Iron,""Laptop friendly workspace"",""Bed linens"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard""}",,475,173375,62.95025729,,,1000,75,8,12,12,12,,,,1,,
,,,"Austin, TX, United States",Travis Heights,Austin,TX,78704,Austin,"Austin, TX",US,United States,"2,349.00",920980,30.23872,-97.74521,Guesthouse,Entire home/apt,2,1,1,1,12,"{Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Private entrance"",""Hot water""}",,68,24820,-73.05044626,500,1300,700,75,12,12,42,317,98,10,10,0,17-03-2011,2011
"We have Uber, scooters, car to go, public bus, bicycle, jump bikes all close by for rent.",2,Guest had full access to rental unit with laundry room just out the back door. No garage access.,"Austin, TX, United States",Zilker,Austin,TX,78704,Austin,"Austin, TX",US,United States,"1,850.00",929059,30.25177,-97.77888,House,Entire home/apt,6,1,3,0,18,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock""}",1150,195,71175,-23.39022602,973,2970,500,75,26,51,81,356,86,9,10,0,29-08-2012,2012
,,,"Austin, TX, United States",Zilker,Austin,TX,78704,Austin,"Austin, TX",US,United States,"1,950.00",1440172,30.25003,-97.77859,House,Entire home/apt,6,1,3,3,24,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Dishes and silverware""}",1,245,89425,-37.90672225,,2970,500,75,20,47,77,343,91,10,10,1,20-10-2014,2014
Uber/Lyft No public transit.,1,Guests have access to private greenbelt trail and river. Laundry room. Common areas. 2nd floor private living space with TV In-Room Mini Fridge,"Austin, TX, United States",MLK & 183,Austin,TX,78725,Austin,"Austin, TX",US,United States,"2,200.00",387868,30.25923,-97.66815,House,Private room,2,1.5,1,1,45,"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Self check-in"",Keypad,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Lake access""}",,55,20075,-48.24270113,,,100,20,29,59,89,343,100,10,10,1,14-03-2015,2015
A car is recommended but not necessary.  Parking for two cars on the property as well as street parking.  Rideshare to downtown is less than 10 (2 miles).  Bus line is 1/3 mile from the house.,2,Guests have access to the entire property.,"Austin, TX, United States",Zilker,Austin,TX,78704,Austin,"Austin, TX",US,United States,"4,500.00",1350801,30.25625,-97.76766,House,Entire home/apt,6,3,4,4,44,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Free street parking"",""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""Children’s books and toys"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",1600,750,273750,102.6575343,,,500,175,13,28,52,86,100,10,10,0,05-03-2017,2017
"Cabs, Buses, Bikes and Walking. This place has a 10/10 walkability rate, bakeries, food, Whole Foods, a park are all walking distance away.",5,"All of it It has a full kitchen, a large living room with wrap around windows, fireplace, art, office, a beautiful vanity and Egyptian chandeliers.. All hardwood floors. Will include all linens, many white towels, Super safe and includes 3- full parking spaces as well as street parking and parking all around at night.","Austin, TX, United States",Downtown,Austin,TX,78701,Austin,"Austin, TX",US,United States,"2,400.00",1289175,30.2752,-97.74863,House,Entire home/apt,6,1,3,4,40,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Paid parking off premises"",""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Self check-in"",Lockbox,""Private entrance"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",,404,147460,14.38322958,,1200,500,75,0,0,0,0,84,8,9,0,15-03-2011,2011
"We live walking distance to the Cap Metro number 2 line that runs directly downtown. There is street parking in the neighborhood if you bring a car with you. We recommend RideAustin, a locally owned ride share service that is as good or better than Uber/Lyft.",3,You will have a private bedroom and share a full bathroom with us. You'll also have access to the living room and kitchen as needed and to the backyard for hanging out in the hammock if you come in the cooler months.,"Austin, TX, United States",Govalle,Austin,TX,78721,Austin,"Austin, TX",US,United States,"1,704.00",291370,30.27324,-97.71173,House,Private room,2,1,1,2,22,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Breakfast,""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron}",500,50,18250,-37.36486255,,,,,11,40,70,70,60,10,6,1,17-03-2011,2011
"This location is within walking distance to lots of great places. All major ride-share companies, like Lyft, Uber operate in Austin. We also have Ride Austin, a local ride share company, as well as Capital Metro public transit operating busses, paratransit services and a commuter rail system known as the Capital MetroRail.",4,There is an electronic deadbolt on the entrance of this home. A unique access code will be provided to you in a set of arrival instruction sent via email.,"Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"1,803.00",477000,30.26278,-97.73529,House,Entire home/apt,6,2,2,2,46,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Paid parking off premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Self check-in"",Keypad,""Private entrance"",""High chair"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",,176,64240,34.67505241,,,500,110,0,0,0,48,99,10,10,0,07-05-2012,2012
"Walk, bike, bus, taxi, pedi-cab, drive...  There is a reserved driveway parking spot for guests if you rent a car.",4,"In addition to their private bedroom and bathroom, guests are welcome to use the public areas of the house: living room, dining room, kitchen and outdoor areas.","Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"2,050.00",368539,30.26984,-97.72874,House,Private room,2,1,1,1,43,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",Breakfast,""Pets live on this property"",Dog(s),Cat(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Garden or backyard""}",,85,31025,-15.81623654,,,300,0,1,10,30,30,100,10,10,1,17-03-2012,2012
"You can get pretty much everywhere downtown with an easy walk, but there are cabs across the street and bikes for public use across the street if needed. Lyft and Uber are both popular in Austin as well.",4,"Guests have access to the beautiful lobby, rooftop terrace and gym.","Austin, TX, United States",Downtown,Austin,TX,78701,Austin,"Austin, TX",US,United States,"1,600.00",16122150,30.27066,-97.7414,Apartment,Entire home/apt,2,1,1,1,42,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Lake access"",""Handheld shower head""}",632,128,46720,-97.10212348,3000,10000,5000,160,0,14,44,44,100,10,10,0,16-03-2011,2011
,,The garage has a cement deck that generally has a nice breeze in the evening. Guests are also welcome to climb on our tire fort in the front yard.,"Austin, TX, United States",Hyde Park,Austin,TX,78751,Austin,"Austin, TX",US,United States,"2,500.00",696511,30.31262,-97.72543,Guest suite,Entire home/apt,3,1.5,1,1,36,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private entrance"",""Hot water"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed""}",,109,39785,-42.87958123,599,1179,,,21,39,68,158,98,10,10,1,12-03-2011,2011
We offer bicycle and scooter rentals with free delivery and pickup! You can book a reservation here: (Website hidden by Airbnb) Please ask about inventory before making a reservation and note that there may be some exceptions. Free vehicle parking included. There is also ride-sharing services and public transportation nearby.,3,Entire condo is available to guest. There are laundry facilities on-site. One parking space is also provided.,"Austin, TX, United States",Barton Hills,Austin,TX,78704,Austin,"Austin, TX",US,United States,"2,695.00",1212571,30.26088,-97.77438,Apartment,Entire home/apt,2,1,1,1,38,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed"",""Lake access""}",,89,32485,-73.20981617,,,0,50,16,36,62,197,96,10,10,0,15-03-2011,2011
"Parking is safe on street in front of my home.  Easily accessible to both bus lines on S. 1st and on S. 5th, only minutes walking to the bus stops with very short ride to DT Austin.  From the airport to my home, taxi  is about 30 with tip and takes 15 to 30 minutes depending on traffic. Buses are also available from the airport to DT and then grab either southbound bus on S. 1st or S. 5th to Cumberland St........couple minute walk home from there.  More info once you have booked the space.",5,Check in is simple and I will give you more instructions after your confirmation. Guests are free to come and go independently with their own key at any time. Well lit up at night with lanspdscape lights and a motion sensor light at gate.,"Austin, TX, United States",Galindo,Austin,TX,78704,Austin,"Austin, TX",US,United States,"1,795.00",435339,30.23916,-97.76487,Apartment,Entire home/apt,2,1,1,1,32,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Free parking on premises"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Patio or balcony"",""Garden or backyard"",""Lake access""}",400,125,45625,4.803383111,,,100,35,0,22,50,322,98,10,10,1,20-03-2011,2011
"bus route, bike, uber, foot and magic carpet",3,"Washer & dryer, pool, fire pit, wireless, Mueller Park, great neighborhood with 50's ranch houses.","Austin, TX, United States",Windsor Park,Austin,TX,78723,Austin,"Austin, TX",US,United States,"2,200.00",485086,30.30933,-97.6952,Guesthouse,Entire home/apt,2,1,1,1,42,"{TV,Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed"",""Long term stays allowed""}",400,95,34675,-28.51782983,640,1350,400,89,6,36,66,246,97,10,10,1,14-03-2013,2013
,,,"Austin, TX, United States",Clarksville,Austin,TX,78703,Austin,"Austin, TX",US,United States,"2,250.00",580201,30.2809,-97.76065,Apartment,Entire home/apt,2,1,1,1,13,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",,119,43435,-25.13801252,,1500,,,0,6,36,87,98,10,10,0,15-03-2011,2011
,,,"Austin, TX, United States",Bouldin Creek,Austin,TX,78704,Austin,"Austin, TX",US,United States,"5,975.00",1395673,30.24936,-97.75904,Bungalow,Entire home/apt,4,1,2,2,21,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Pets live on this property"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Other}",,199,72635,-47.95700712,4200,,,60,22,47,77,257,94,10,10,1,16-03-2011,2011
"There is a bus stop very close, as well as the Metro Rail.  If you are sticking to downtownt and such, then there is no need for anything except walking.  Rideshare carsare always only a minute or two away. Rainey Street is easy walking distance.",3,"The hose, front yard, front porch, laundry room.","Austin, TX, United States",East Downtown,Austin,TX,78702,Austin,"Austin, TX",US,United States,"2,450.00",678871,30.26071,-97.73258,Bungalow,Entire home/apt,4,1,2,3,13,"{TV,Internet,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,""Bed linens"",""Extra pillows and blankets""}",1150,225,82125,20.97290943,1350,3950,0,100,0,0,0,0,94,10,9,0,18-10-2011,2011
"There are busses within a five minute walk from my house,  but busses are not vey frequent.  It's a short cab or Uber ride (under 10) to downtown and less than a mile and a half to either walk or ride a bike.",2,"The house has wifi,  tv and Sonos wireless music system.","Austin, TX, United States",West Austin,Austin,TX,78703,Austin,"Austin, TX",US,United States,"5,815.00",1357927,30.28408,-97.76828,Bungalow,Entire home/apt,5,2,3,3,32,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Host greets you"",""Baking sheet""}",,150,54750,-59.68119052,,,600,100,30,60,90,365,,,,0,,
City bus blocks away.  Plenty of free parking on my street.,2,The whole house.  I do have 2 cats and a dog on the  premise.  Large pond with Koi and a land tortoise that you have to be careful with if you want to interact with him (details later).,"Austin, TX, United States",Windsor Park,Austin,TX,78723,Austin,"Austin, TX",US,United States,"2,400.00",476115,30.30419,-97.68914,House,Entire home/apt,12,2,3,3,35,"{TV,""Air conditioning"",Kitchen,""Pets live on this property"",Dog(s),Cat(s),""Other pet(s)"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",Bathtub,""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Cleaning before checkout"",""Host greets you"",""Paid parking on premises""}",,508,185420,289.4437268,,,0,25,30,60,90,90,80,10,10,1,11-03-2018,2018
I'm two blocks from the #7 which goes through the University and downtown.,2,Kitchen- you're welcome to store food and cook Carporch- great for reading and visiting Two showers Extra towels to take swimming ...,"Austin, TX, United States",Highland,Austin,TX,78752,Austin,"Austin, TX",US,United States,"2,200.00",506624,30.32373,-97.71629,House,Private room,2,1,1,1,39,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets live on this property"",Cat(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Bathtub,""Babysitter recommendations"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Host greets you""}",,47,17155,-66.13859588,,,0,25,14,36,57,332,99,10,10,1,19-09-2011,2011
"We are a short trip to Downtown Austin, UT, the Capitol, East Austin by bike or ride hailing service.",3,Entire home.,"Austin, TX, United States",University of Texas,Austin,TX,78705,Austin,"Austin, TX",US,United States,"1,700.00",282853,30.29269,-97.74345,Condominium,Entire home/apt,4,1,1,1,30,"{""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Pets live on this property"",Dog(s),Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,Iron,Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Long term stays allowed""}",1050,45,16425,-41.93096768,,,0,30,0,0,0,0,93,10,10,1,10-09-2017,2017
,,Guests are renting the entire home.,"Austin, TX, United States",Wooten,Austin,TX,78757,Austin,"Austin, TX",US,United States,"2,100.00",526224,30.35669,-97.72658,House,Entire home/apt,8,2,4,6,48,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets allowed"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""High chair"",""Children’s books and toys"",Crib,""Pack ’n Play/travel crib"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",,329,120085,128.2012983,,,250,117,19,31,53,233,97,10,10,1,27-08-2012,2012
"Bus routes are close Rental bicycles are available Taxis, Uber, and Lyft are not shy to come to this neighborhood. 3 blocks to all the action on congress 1.6 miles to the convention center 2.4 miles to Zilker Park",3,Kitchen towels and linens included Washer and Dryer - Please bring your own laundry detergent and dryer sheets.  Bathroom Back Porch Front Porch Side Yard Trampoline (at your own risk),"Austin, TX, United States",Travis Heights,Austin,TX,78704,Austin,"Austin, TX",US,United States,,,30.24666,-97.7476,House,Entire home/apt,6,1,2,3,36,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Hot water"",""Bed linens"",Microwave,Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Long term stays allowed""}",,131,47815,#DIV/0!,,,0,85,15,31,56,322,96,10,10,0,04-05-2011,2011
"We have good public transportation, bike rentals, car rental options and ride share companies.  We are blessed to have RideAustin our co-op ride share to add to the mix too.",3,"Guests have full access to the guesthouse and gardens.  A large deck is off the guesthouse living room with table, chair and umbrella for Guesthouse guests.","Austin, TX, United States",Zilker,Austin,TX,78704,Austin,"Austin, TX",US,United States,"2,150.00",1524430,30.25433,-97.77582,Guesthouse,Entire home/apt,4,1,1,1,42,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",Bathtub,""Children’s books and toys"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",,85,31025,-79.64813078,575,2090,200,50,4,16,23,82,98,10,10,0,26-09-2011,2011
,,The whole house.,"US, United States",Travis Heights,,,,Austin,"US, ",US,United States,,,30.24613,-97.74528,House,Entire home/apt,4,1,2,3,27,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Hot water"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Garden or backyard"",""Long term stays allowed""}",,77,28105,#DIV/0!,,,500,100,8,38,68,343,99,10,10,0,22-05-2011,2011
