,id,zipcode,bedrooms,bathrooms,price,neighbourhood_cleansed,latitude,longitude,property_type,room_type,is_location_exact,address,zestimate,,
18,11490523,95032,2,2,$112.00,Los Gatos,37.25146,-121.97688,Condominium,Entire home/apt,t,"14960 Karl Ave, Monte Sereno, CA 95030, USA",,"2 beds 2 bath 14960 Karl Ave, Monte Sereno, CA 95030, USA zillow","2 beds 2 bath 14960 Karl Ave, Monte Sereno, CA 95030, USA zillow"
19,12501937,95133,2,2.5,$250.00,San Jose,37.38066,-121.86438,Townhouse,Entire home/apt,t,"1062 Sedge Way, San Jose, CA 95133, USA",,"2 beds 2.5 bath 1062 Sedge Way, San Jose, CA 95133, USA zillow","2 beds 2.5 bath 1062 Sedge Way, San Jose, CA 95133, USA zillow"
21,13801206,95125,2,2,"$2,750.00",San Jose,37.30746,-121.88602,Condominium,Entire home/apt,t,"531 Falcon Pl, San Jose, CA 95125, USA",,"2 beds 2 bath 531 Falcon Pl, San Jose, CA 95125, USA zillow","2 beds 2 bath 531 Falcon Pl, San Jose, CA 95125, USA zillow"
23,16049831,94303,2,2,$275.00,Palo Alto,37.42895,-122.10475,Townhouse,Entire home/apt,t,"3825 Fabian Way, Palo Alto, CA 94303, USA",,"2 beds 2 bath 3825 Fabian Way, Palo Alto, CA 94303, USA zillow","2 beds 2 bath 3825 Fabian Way, Palo Alto, CA 94303, USA zillow"
26,16741371,94043,2,2,$233.00,Mountain View,37.4129,-122.09221,Condominium,Entire home/apt,t,"701 Rengstorff Ave, Mountain View, CA 94043, USA",,"2 beds 2 bath 701 Rengstorff Ave, Mountain View, CA 94043, USA zillow","2 beds 2 bath 701 Rengstorff Ave, Mountain View, CA 94043, USA zillow"
27,17031236,95129,3,3,$219.00,San Jose,37.30403,-122.03386,Townhouse,Entire home/apt,t,"1179 S De Anza Blvd, San Jose, CA 95129, USA",,"3 beds 3 bath 1179 S De Anza Blvd, San Jose, CA 95129, USA zillow","3 beds 3 bath 1179 S De Anza Blvd, San Jose, CA 95129, USA zillow"
29,17347441,94040,2,1.5,$99.00,Mountain View,37.40481,-122.11417,Townhouse,Entire home/apt,t,"2680 Fayette Dr, Mountain View, CA 94040, USA",,"2 beds 1.5 bath 2680 Fayette Dr, Mountain View, CA 94040, USA zillow","2 beds 1.5 bath 2680 Fayette Dr, Mountain View, CA 94040, USA zillow"
30,17654655,95051,2,2,$261.00,Santa Clara,37.32361,-121.97131,Condominium,Entire home/apt,t,"3941 Stevens Creek Blvd, Santa Clara, CA 95051, USA",,"2 beds 2 bath 3941 Stevens Creek Blvd, Santa Clara, CA 95051, USA zillow","2 beds 2 bath 3941 Stevens Creek Blvd, Santa Clara, CA 95051, USA zillow"
31,17880302,94040,2,1.5,$149.00,Mountain View,37.4043,-122.11401,Townhouse,Entire home/apt,t,"2660 Fayette Dr, Mountain View, CA 94040, USA",,"2 beds 1.5 bath 2660 Fayette Dr, Mountain View, CA 94040, USA zillow","2 beds 1.5 bath 2660 Fayette Dr, Mountain View, CA 94040, USA zillow"
35,19434735,95054,2,1,$275.00,Santa Clara,37.39494,-121.94412,Condominium,Entire home/apt,t,"550 Lick Mill Blvd, Santa Clara, CA 95054, USA",,"2 beds 1 bath 550 Lick Mill Blvd, Santa Clara, CA 95054, USA zillow","2 beds 1 bath 550 Lick Mill Blvd, Santa Clara, CA 95054, USA zillow"
36,19860636,95126,2,2,$180.00,San Jose,37.32069,-121.91252,Condominium,Entire home/apt,t,"1370 Auzerais Ave, San Jose, CA 95126, USA",,"2 beds 2 bath 1370 Auzerais Ave, San Jose, CA 95126, USA zillow","2 beds 2 bath 1370 Auzerais Ave, San Jose, CA 95126, USA zillow"
40,21135866,,3,3,$264.00,Palo Alto,37.41776,-122.12969,Condominium,Entire home/apt,f,"438 Ventura Ave, Palo Alto, CA 94306, USA",,"3 beds 3 bath 438 Ventura Ave, Palo Alto, CA 94306, USA zillow","3 beds 3 bath 438 Ventura Ave, Palo Alto, CA 94306, USA zillow"
44,21679339,95054,1,1.5,$145.00,Santa Clara,37.40288,-121.94979,Townhouse,Entire home/apt,t,"4513 Laird Cir, Santa Clara, CA 95054, USA",,"1 beds 1.5 bath 4513 Laird Cir, Santa Clara, CA 95054, USA zillow","1 beds 1.5 bath 4513 Laird Cir, Santa Clara, CA 95054, USA zillow"
45,21739480,,1,1,$166.00,Mountain View,37.40764,-122.11222,Condominium,Entire home/apt,f,"2650 California St, Mountain View, CA 94040, USA",,"1 beds 1 bath 2650 California St, Mountain View, CA 94040, USA zillow","1 beds 1 bath 2650 California St, Mountain View, CA 94040, USA zillow"
46,21999297,94306,1,1,$119.00,Palo Alto,37.4194,-122.1266,Condominium,Entire home/apt,t,"3931 Park Blvd, Palo Alto, CA 94306, USA",,"1 beds 1 bath 3931 Park Blvd, Palo Alto, CA 94306, USA zillow","1 beds 1 bath 3931 Park Blvd, Palo Alto, CA 94306, USA zillow"
48,22567710,95035,1,1,$148.00,Milpitas,37.41645,-121.89016,Condominium,Entire home/apt,f,"598 Gibraltar Dr, Milpitas, CA 95035, USA",,"1 beds 1 bath 598 Gibraltar Dr, Milpitas, CA 95035, USA zillow","1 beds 1 bath 598 Gibraltar Dr, Milpitas, CA 95035, USA zillow"
49,23274396,95131,2,2,$188.00,San Jose,37.38165,-121.89727,Townhouse,Entire home/apt,t,"Unnamed Road, San Jose, CA 95131, USA",,"2 beds 2 bath Unnamed Road, San Jose, CA 95131, USA zillow","2 beds 2 bath Unnamed Road, San Jose, CA 95131, USA zillow"
50,23547243,95112,1,1,$145.00,San Jose,37.36564,-121.91185,Condominium,Entire home/apt,f,"1700 N 1st St, San Jose, CA 95112, USA",,"1 beds 1 bath 1700 N 1st St, San Jose, CA 95112, USA zillow","1 beds 1 bath 1700 N 1st St, San Jose, CA 95112, USA zillow"
54,24303312,,1,1,$159.00,Mountain View,37.40746,-122.11092,Condominium,Entire home/apt,f,"230 San Antonio Cir, Mountain View, CA 94040, USA",,"1 beds 1 bath 230 San Antonio Cir, Mountain View, CA 94040, USA zillow","1 beds 1 bath 230 San Antonio Cir, Mountain View, CA 94040, USA zillow"
55,24317835,95035,2,2,$169.00,Milpitas,37.45186,-121.90773,Condominium,Entire home/apt,t,"121 Rose Dr, Milpitas, CA 95035, USA",,"2 beds 2 bath 121 Rose Dr, Milpitas, CA 95035, USA zillow","2 beds 2 bath 121 Rose Dr, Milpitas, CA 95035, USA zillow"
56,24353440,,1,1,$149.00,Mountain View,37.39696,-122.09904,Condominium,Entire home/apt,f,"575 S Rengstorff Ave APT 75, Mountain View, CA 94040, USA",,"1 beds 1 bath 575 S Rengstorff Ave APT 75, Mountain View, CA 94040, USA zillow","1 beds 1 bath 575 S Rengstorff Ave APT 75, Mountain View, CA 94040, USA zillow"
57,24392446,94041,2,1,$175.00,Mountain View,37.39417,-122.08871,Condominium,Entire home/apt,t,"432 Pettis Ave, Mountain View, CA 94041, USA",,"2 beds 1 bath 432 Pettis Ave, Mountain View, CA 94041, USA zillow","2 beds 1 bath 432 Pettis Ave, Mountain View, CA 94041, USA zillow"
58,24516376,94040,2,1.5,$149.00,Mountain View,37.40433,-122.11396,Townhouse,Entire home/apt,t,"2660 Fayette Dr, Mountain View, CA 94040, USA",,"2 beds 1.5 bath 2660 Fayette Dr, Mountain View, CA 94040, USA zillow","2 beds 1.5 bath 2660 Fayette Dr, Mountain View, CA 94040, USA zillow"
65,25549823,95131,2,2,$138.00,San Jose,37.37712,-121.88154,Condominium,Entire home/apt,t,"1591 Sierra Rd, San Jose, CA 95131, USA",,"2 beds 2 bath 1591 Sierra Rd, San Jose, CA 95131, USA zillow","2 beds 2 bath 1591 Sierra Rd, San Jose, CA 95131, USA zillow"
72,28736395,95117,2,2,$228.00,San Jose,37.31164,-121.97601,Townhouse,Entire home/apt,f,"4140 Manzanita Dr, San Jose, CA 95117, USA",,"2 beds 2 bath 4140 Manzanita Dr, San Jose, CA 95117, USA zillow","2 beds 2 bath 4140 Manzanita Dr, San Jose, CA 95117, USA zillow"
75,29008214,,1,1,$115.00,Santa Clara,37.35343,-121.97223,Condominium,Entire home/apt,f,"2576 Robinson Ave, Santa Clara, CA 95051, USA",,"1 beds 1 bath 2576 Robinson Ave, Santa Clara, CA 95051, USA zillow","1 beds 1 bath 2576 Robinson Ave, Santa Clara, CA 95051, USA zillow"
80,29659155,,3,2,$250.00,Palo Alto,37.41057,-122.12316,Condominium,Entire home/apt,f,"4195 CA-82, Palo Alto, CA 94306, USA",,"3 beds 2 bath 4195 CA-82, Palo Alto, CA 94306, USA zillow","3 beds 2 bath 4195 CA-82, Palo Alto, CA 94306, USA zillow"
82,29762029,94022,2,2.5,$240.00,Los Altos,37.3737,-122.11108,Townhouse,Entire home/apt,t,"150 Cuesta Dr, Los Altos, CA 94022, USA",,"2 beds 2.5 bath 150 Cuesta Dr, Los Altos, CA 94022, USA zillow","2 beds 2.5 bath 150 Cuesta Dr, Los Altos, CA 94022, USA zillow"
85,29861471,,2,2,$161.00,Santa Clara,37.39683,-121.94171,Condominium,Entire home/apt,f,"410 River Side Ct, Santa Clara, CA 95054, USA",,"2 beds 2 bath 410 River Side Ct, Santa Clara, CA 95054, USA zillow","2 beds 2 bath 410 River Side Ct, Santa Clara, CA 95054, USA zillow"
87,30212898,95110,2,2,$229.00,San Jose,37.32771,-121.89801,Townhouse,Entire home/apt,t,"460 Park Ave, San Jose, CA 95110, USA",,"2 beds 2 bath 460 Park Ave, San Jose, CA 95110, USA zillow","2 beds 2 bath 460 Park Ave, San Jose, CA 95110, USA zillow"
88,30376556,,3,2,$190.00,San Jose,37.36286,-121.89002,Condominium,Entire home/apt,f,"757 Entertainment Ct, San Jose, CA 95112, USA",,"3 beds 2 bath 757 Entertainment Ct, San Jose, CA 95112, USA zillow","3 beds 2 bath 757 Entertainment Ct, San Jose, CA 95112, USA zillow"
89,30450973,95117,1,1,$125.00,San Jose,37.29944,-121.95865,Townhouse,Entire home/apt,t,"1375 Maria Way, San Jose, CA 95117, USA",,"1 beds 1 bath 1375 Maria Way, San Jose, CA 95117, USA zillow","1 beds 1 bath 1375 Maria Way, San Jose, CA 95117, USA zillow"
91,30536322,95126,1,1,$130.00,San Jose,37.30169,-121.92545,Condominium,Entire home/apt,t,"1793 Stokes St, San Jose, CA 95126, USA",,"1 beds 1 bath 1793 Stokes St, San Jose, CA 95126, USA zillow","1 beds 1 bath 1793 Stokes St, San Jose, CA 95126, USA zillow"
94,31114532,,2,2,$165.00,Santa Clara,37.39607,-121.95783,Condominium,Entire home/apt,f,"1520 Avina Cir, Santa Clara, CA 95054, USA",,"2 beds 2 bath 1520 Avina Cir, Santa Clara, CA 95054, USA zillow","2 beds 2 bath 1520 Avina Cir, Santa Clara, CA 95054, USA zillow"
96,31243329,95051,3,2,$240.00,Cupertino,37.32693,-122.00681,Condominium,Entire home/apt,t,"10440 N Tantau Ave, Cupertino, CA 95014, USA",,"3 beds 2 bath 10440 N Tantau Ave, Cupertino, CA 95014, USA zillow","3 beds 2 bath 10440 N Tantau Ave, Cupertino, CA 95014, USA zillow"
97,31414797,,2,1,$168.00,Mountain View,37.38683,-122.07219,Condominium,Entire home/apt,f,"521 Frances Way, Mountain View, CA 94041, USA",,"2 beds 1 bath 521 Frances Way, Mountain View, CA 94041, USA zillow","2 beds 1 bath 521 Frances Way, Mountain View, CA 94041, USA zillow"
99,31589123,95035,3,2,$187.00,San Jose,37.40346,-121.90101,Condominium,Entire home/apt,f,"1536 County Hwy G4, San Jose, CA 95131, USA",,"3 beds 2 bath 1536 County Hwy G4, San Jose, CA 95131, USA zillow","3 beds 2 bath 1536 County Hwy G4, San Jose, CA 95131, USA zillow"
100,31616417,,3,3,$192.00,San Jose,37.37252,-121.87878,Condominium,Entire home/apt,f,"1032 Giacomo Ln, San Jose, CA 95131, USA",,"3 beds 3 bath 1032 Giacomo Ln, San Jose, CA 95131, USA zillow","3 beds 3 bath 1032 Giacomo Ln, San Jose, CA 95131, USA zillow"
102,31991872,95035,2,2,$165.00,Milpitas,37.42018,-121.90663,Condominium,Entire home/apt,f,"661 S Abel St, Milpitas, CA 95035, USA",,"2 beds 2 bath 661 S Abel St, Milpitas, CA 95035, USA zillow","2 beds 2 bath 661 S Abel St, Milpitas, CA 95035, USA zillow"
106,32312467,,2,2,$153.00,San Jose,37.27758,-121.85632,Condominium,Entire home/apt,f,"3633 Sandpebble Dr, San Jose, CA 95136, USA",,"2 beds 2 bath 3633 Sandpebble Dr, San Jose, CA 95136, USA zillow","2 beds 2 bath 3633 Sandpebble Dr, San Jose, CA 95136, USA zillow"
107,32356916,95126,1,2.5,$268.00,San Jose,37.33474,-121.90947,Condominium,Entire home/apt,t,"434 N Morrison Ave, San Jose, CA 95126, USA",,"1 beds 2.5 bath 434 N Morrison Ave, San Jose, CA 95126, USA zillow","1 beds 2.5 bath 434 N Morrison Ave, San Jose, CA 95126, USA zillow"
108,32526233,,2,2,$167.00,Cupertino,37.32486,-122.06894,Condominium,Entire home/apt,f,"10130 Westminster Ct, Cupertino, CA 95014, USA",,"2 beds 2 bath 10130 Westminster Ct, Cupertino, CA 95014, USA zillow","2 beds 2 bath 10130 Westminster Ct, Cupertino, CA 95014, USA zillow"
112,32635019,,2,2,$177.00,Sunnyvale,37.38113,-122.0578,Condominium,Entire home/apt,f,"203 Acalanes Dr, Sunnyvale, CA 94086, USA",,"2 beds 2 bath 203 Acalanes Dr, Sunnyvale, CA 94086, USA zillow","2 beds 2 bath 203 Acalanes Dr, Sunnyvale, CA 94086, USA zillow"
113,32635160,,2,2,$177.00,Sunnyvale,37.37986,-122.05868,Condominium,Entire home/apt,f,"301 Acalanes Dr, Sunnyvale, CA 94086, USA",,"2 beds 2 bath 301 Acalanes Dr, Sunnyvale, CA 94086, USA zillow","2 beds 2 bath 301 Acalanes Dr, Sunnyvale, CA 94086, USA zillow"
115,32770582,95126,2,2,$127.00,San Jose,37.31898,-121.91177,Condominium,Entire home/apt,t,"525 Race St UNIT 150, San Jose, CA 95126, USA",,"2 beds 2 bath 525 Race St UNIT 150, San Jose, CA 95126, USA zillow","2 beds 2 bath 525 Race St UNIT 150, San Jose, CA 95126, USA zillow"
118,33188268,,2,1,$151.00,San Jose,37.32306,-121.9616,Condominium,Entire home/apt,f,"3550 Stevens Creek Blvd UNIT 320, San Jose, CA 95117, USA",,"2 beds 1 bath 3550 Stevens Creek Blvd UNIT 320, San Jose, CA 95117, USA zillow","2 beds 1 bath 3550 Stevens Creek Blvd UNIT 320, San Jose, CA 95117, USA zillow"
119,33249009,,1,1,$147.00,Mountain View,37.40804,-122.1113,Condominium,Entire home/apt,f,"181 Del Medio Ave, Mountain View, CA 94040, USA",,"1 beds 1 bath 181 Del Medio Ave, Mountain View, CA 94040, USA zillow","1 beds 1 bath 181 Del Medio Ave, Mountain View, CA 94040, USA zillow"
121,33425287,,2,2,$207.00,Mountain View,37.39665,-122.06581,Condominium,Entire home/apt,f,"254 Tyrella Ave, Mountain View, CA 94043, USA",,"2 beds 2 bath 254 Tyrella Ave, Mountain View, CA 94043, USA zillow","2 beds 2 bath 254 Tyrella Ave, Mountain View, CA 94043, USA zillow"
122,33431542,95134,1,1,$85.00,San Jose,37.41363,-121.95499,Condominium,Entire home/apt,t,"55 Vista Montaña, San Jose, CA 95134, USA",,"1 beds 1 bath 55 Vista Montaña, San Jose, CA 95134, USA zillow","1 beds 1 bath 55 Vista Montaña, San Jose, CA 95134, USA zillow"
123,33452809,95126,2,2,$298.00,San Jose,37.33265,-121.91345,Condominium,Entire home/apt,t,"1343 The Alameda, San Jose, CA 95126, USA",,"2 beds 2 bath 1343 The Alameda, San Jose, CA 95126, USA zillow","2 beds 2 bath 1343 The Alameda, San Jose, CA 95126, USA zillow"
126,33748073,95112,2,2,$170.00,San Jose,37.32824,-121.86741,Condominium,Entire home/apt,t,"900 S 12th St, San Jose, CA 95112, USA",,"2 beds 2 bath 900 S 12th St, San Jose, CA 95112, USA zillow","2 beds 2 bath 900 S 12th St, San Jose, CA 95112, USA zillow"
127,33923095,95126,1,1,$84.00,San Jose,37.31002,-121.91791,Condominium,Entire home/apt,t,"1520 Southwest Expy, San Jose, CA 95126, USA",,"1 beds 1 bath 1520 Southwest Expy, San Jose, CA 95126, USA zillow","1 beds 1 bath 1520 Southwest Expy, San Jose, CA 95126, USA zillow"
128,34115547,95035,2,2,$163.00,Milpitas,37.41427,-121.90268,Condominium,Entire home/apt,f,"Great Mall / Main, VTA Greatmall Light Rail station, Milpitas, CA 95035, USA",,"2 beds 2 bath Great Mall / Main, VTA Greatmall Light Rail station, Milpitas, CA 95035, USA zillow","2 beds 2 bath Great Mall / Main, VTA Greatmall Light Rail station, Milpitas, CA 95035, USA zillow"
129,34204089,,1,1,$133.00,Santa Clara,37.39185,-121.96286,Condominium,Entire home/apt,f,"4265 Burton Dr, Santa Clara, CA 95054, USA",,"1 beds 1 bath 4265 Burton Dr, Santa Clara, CA 95054, USA zillow","1 beds 1 bath 4265 Burton Dr, Santa Clara, CA 95054, USA zillow"
130,34544943,94043,1,1,$150.00,Mountain View,37.39779,-122.09925,Condominium,Entire home/apt,t,"2065 California St, Mountain View, CA 94040, USA",,"1 beds 1 bath 2065 California St, Mountain View, CA 94040, USA zillow","1 beds 1 bath 2065 California St, Mountain View, CA 94040, USA zillow"
132,34706664,95035,2,2.5,$173.00,Milpitas,37.44263,-121.90573,Condominium,Entire home/apt,f,"759 Erie Cir, Milpitas, CA 95035, USA",,"2 beds 2.5 bath 759 Erie Cir, Milpitas, CA 95035, USA zillow","2 beds 2.5 bath 759 Erie Cir, Milpitas, CA 95035, USA zillow"
133,34928509,95050,1,1,$146.00,Santa Clara,37.3598,-121.96346,Condominium,Entire home/apt,t,"2079 Elm Leaf Ct, Santa Clara, CA 95050, USA",,"1 beds 1 bath 2079 Elm Leaf Ct, Santa Clara, CA 95050, USA zillow","1 beds 1 bath 2079 Elm Leaf Ct, Santa Clara, CA 95050, USA zillow"
136,35415657,,2,2,$167.00,Sunnyvale,37.37005,-121.99666,Condominium,Entire home/apt,f,"1190 Willow Ave, Sunnyvale, CA 94086, USA",,"2 beds 2 bath 1190 Willow Ave, Sunnyvale, CA 94086, USA zillow","2 beds 2 bath 1190 Willow Ave, Sunnyvale, CA 94086, USA zillow"
137,35464660,94043,2,1.5,$268.00,Mountain View,37.39149,-122.05881,Townhouse,Entire home/apt,f,"166 Campbell Dr, Mountain View, CA 94043, USA",,"2 beds 1.5 bath 166 Campbell Dr, Mountain View, CA 94043, USA zillow","2 beds 1.5 bath 166 Campbell Dr, Mountain View, CA 94043, USA zillow"
138,35470603,95133,2,1,$150.00,San Jose,37.36225,-121.86186,Condominium,Entire home/apt,f,"466 Avalani Ave, San Jose, CA 95133, USA",,"2 beds 1 bath 466 Avalani Ave, San Jose, CA 95133, USA zillow","2 beds 1 bath 466 Avalani Ave, San Jose, CA 95133, USA zillow"
141,35878508,95008,2,1.5,$139.00,San Jose,37.27103,-121.99025,Condominium,Entire home/apt,t,"5080 Westmont Ave, San Jose, CA 95130, USA",,"2 beds 1.5 bath 5080 Westmont Ave, San Jose, CA 95130, USA zillow","2 beds 1.5 bath 5080 Westmont Ave, San Jose, CA 95130, USA zillow"
143,36149060,94043,1,1,$120.00,Mountain View,37.40588,-122.09198,Condominium,Entire home/apt,t,"1938 Montecito Ave, Mountain View, CA 94043, USA",,"1 beds 1 bath 1938 Montecito Ave, Mountain View, CA 94043, USA zillow","1 beds 1 bath 1938 Montecito Ave, Mountain View, CA 94043, USA zillow"
