CPL,MI,HS,CDC,UI,SPL,ICU,BLG,CC
Heavily Republican,Medium,Medium,AlwaysWearMasks,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Low
Heavily Republican,Medium,Low,AlwaysWearMasks,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Medium,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,High,Lifted,High
Heavily Republican,Medium,Low,AlwaysWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Medium,Low,AlwaysWearMasks,noncore,Democratic,Very High,Lifted,Low
Heavily Republican,Low,Medium,AlwaysWearMasks,noncore,Democratic,Very High,Lifted,Low
Heavily Republican,Very Low,Medium,AlwaysWearMasks,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Very High,Very Low,AlwaysWearMasks,noncore,Democratic,Very High,>10 People Prohibited,Low
Heavily Republican,High,Low,AlwaysWearMasks,noncore,Democratic,Very High,>10 People Prohibited,Medium
Heavily Republican,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Medium,High,AlwaysWearMasks,micropolitan,Republican,High,New Limit on Large Gatherings in Place,Very High
Even,Very Low,High,AlwaysWearMasks,micropolitan,Republican,High,New Limit on Large Gatherings in Place,High
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,High,Lifted,Very High
Heavily Republican,High,Low,AlwaysWearMasks,noncore,Republican,Low,Expanded Limit to Greater Than 25,High
Heavily Republican,Medium,Very Low,AlwaysWearMasks,noncore,Republican,Very High,Expanded Limit to Greater Than 25,Medium
Heavily Democrat,Very Low,Medium,AlwaysWearMasks,metropolitan,Republican,High,Expanded Limit to Greater Than 25,Very High
Leaning Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Expanded Limit to Greater Than 25,Low
Heavily Democrat,Very High,Medium,AlwaysWearMasks,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,High
Heavily Republican,Medium,Low,AlwaysWearMasks,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very High,Very Low,AlwaysWearMasks,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Very High,Medium,FrequentlyWearMasks,metropolitan,Republican,Very High,Lifted,Medium
Heavily Republican,High,Low,AlwaysWearMasks,micropolitan,Republican,High,Lifted,Low
Heavily Republican,High,Very Low,RarelyWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,High
Heavily Republican,High,Low,SometimesWearMasks,micropolitan,Republican,Very High,New Limit on Large Gatherings in Place,High
Leaning Democrat,Very High,Low,AlwaysWearMasks,metropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Medium,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Low
Heavily Republican,Low,Medium,AlwaysWearMasks,noncore,Democratic,High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,>10 People Prohibited,Medium
Heavily Republican,High,Very Low,AlwaysWearMasks,noncore,Democratic,Very High,>10 People Prohibited,Low
Republican,High,Very Low,AlwaysWearMasks,noncore,Democratic,Very High,>10 People Prohibited,Very Low
Heavily Republican,Medium,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to Greater Than 25,Low
Leaning Republican,High,,AlwaysWearMasks,,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Republican,Very Low,High,AlwaysWearMasks,micropolitan,Republican,High,Expanded Limit to Greater Than 25,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,metropolitan,Republican,High,Expanded Limit to Greater Than 25,Very High
Heavily Republican,Medium,Very High,AlwaysWearMasks,metropolitan,Republican,Low,Expanded Limit to Greater Than 25,Medium
Heavily Republican,Medium,High,AlwaysWearMasks,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Medium,FrequentlyWearMasks,micropolitan,Republican,Medium,Lifted,High
Republican,Medium,Low,AlwaysWearMasks,metropolitan,Republican,High,Lifted,High
Heavily Republican,High,Very Low,AlwaysWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,High
Heavily Republican,Medium,Medium,AlwaysWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Medium,Low,AlwaysWearMasks,noncore,Democratic,Very High,Lifted,Very High
Republican,Medium,Medium,AlwaysWearMasks,micropolitan,Democratic,Very High,Lifted,Very High
Heavily Democrat,Low,Very High,AlwaysWearMasks,metropolitan,Democratic,High,Lifted,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very Low,Very High,AlwaysWearMasks,micropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Low
Leaning Republican,Very High,Very Low,AlwaysWearMasks,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Republican,Medium,High,AlwaysWearMasks,noncore,Democratic,Very High,>10 People Prohibited,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,metropolitan,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,High,Medium,AlwaysWearMasks,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Medium,Low,FrequentlyWearMasks,noncore,Republican,Very High,Expanded Limit to Greater Than 25,Very Low
Heavily Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Medium
Leaning Republican,Medium,Low,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Medium
Heavily Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,Low,Expanded Limit to Greater Than 25,High
Heavily Republican,Low,Medium,AlwaysWearMasks,noncore,Republican,Medium,Expanded Limit to Greater Than 25,High
Heavily Republican,Medium,Medium,FrequentlyWearMasks,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,High
Leaning Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,High,New Limit on Large Gatherings in Place,High
Heavily Republican,Very Low,Medium,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Low,Low,AlwaysWearMasks,noncore,Democratic,Very High,Lifted,Very Low
Republican,Very High,Low,AlwaysWearMasks,metropolitan,Democratic,Low,Lifted,High
Heavily Republican,High,Low,AlwaysWearMasks,micropolitan,Democratic,High,Lifted,Low
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Democratic,Medium,New Limit on Large Gatherings in Place,Low
Heavily Republican,High,Medium,AlwaysWearMasks,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Even,Very High,Low,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Very High,Low,AlwaysWearMasks,metropolitan,Democratic,Low,>10 People Prohibited,Low
Even,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,High,>10 People Prohibited,Medium
Heavily Republican,High,Very Low,AlwaysWearMasks,noncore,Democratic,Very High,>10 People Prohibited,Very High
Leaning Democrat,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,High,New Limit on Large Gatherings in Place,High
Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,High,Medium,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Medium,Very Low,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to Greater Than 25,Low
Heavily Republican,Low,Very Low,AlwaysWearMasks,noncore,Republican,Low,Expanded Limit to Greater Than 25,Very Low
Heavily Republican,Very High,Very Low,AlwaysWearMasks,noncore,Republican,Low,Expanded Limit to Greater Than 25,Low
Even,Very High,Low,AlwaysWearMasks,metropolitan,Republican,High,Expanded Limit to Greater Than 25,Very High
Even,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Expanded Limit to Greater Than 25,High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Expanded Limit to Greater Than 25,Low
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,High,Expanded Limit to Greater Than 25,Very High
Heavily Republican,Low,Very Low,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very High,Low,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very Low
Heavily Republican,Medium,Low,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,Very Low
Heavily Republican,High,Medium,AlwaysWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,Lifted,Low
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Medium,High,AlwaysWearMasks,micropolitan,Democratic,Very High,New Limit on Large Gatherings in Place,Low
Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very Low
Heavily Republican,Very High,Low,AlwaysWearMasks,micropolitan,Democratic,High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very Low,Low,AlwaysWearMasks,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,High,AlwaysWearMasks,noncore,Democratic,Very High,>10 People Prohibited,Low
Republican,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,High
Leaning Republican,Medium,Low,AlwaysWearMasks,micropolitan,Republican,High,New Limit on Large Gatherings in Place,Very High
Leaning Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very High
Leaning Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Very Low
Heavily Republican,Medium,Medium,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,Very Low,AlwaysWearMasks,noncore,Republican,Very High,Expanded Limit to Greater Than 25,Very Low
Even,Medium,Low,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Medium
Heavily Republican,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,Medium,Expanded Limit to Greater Than 25,Very High
Heavily Republican,Very High,Low,AlwaysWearMasks,metropolitan,Republican,Low,Expanded Limit to Greater Than 25,Medium
Heavily Republican,Medium,High,AlwaysWearMasks,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Democrat,Medium,High,AlwaysWearMasks,metropolitan,Republican,High,Lifted,Medium
Leaning Republican,Very High,Very Low,AlwaysWearMasks,micropolitan,Republican,Very High,New Limit on Large Gatherings in Place,High
Republican,High,Very Low,FrequentlyWearMasks,noncore,Republican,High,New Limit on Large Gatherings in Place,Medium
Leaning Republican,High,Very Low,AlwaysWearMasks,noncore,Republican,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Low,Very Low,AlwaysWearMasks,noncore,Democratic,Very High,Lifted,Medium
Republican,Very Low,Medium,AlwaysWearMasks,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Very Low
Leaning Republican,Medium,Low,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Very Low,AlwaysWearMasks,micropolitan,Democratic,High,>10 People Prohibited,Low
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,High,New Limit on Large Gatherings in Place,Very High
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Very Low,AlwaysWearMasks,micropolitan,Democratic,Low,Expanded Limit to Greater Than 25,Low
Heavily Republican,Medium,Low,AlwaysWearMasks,micropolitan,Republican,Very High,Expanded Limit to Greater Than 25,Medium
Leaning Democrat,Very Low,Medium,AlwaysWearMasks,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Leaning Republican,Medium,Medium,AlwaysWearMasks,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very High,Low,FrequentlyWearMasks,micropolitan,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,Expanded Limit to 25 or Fewer,Very Low
Even,Medium,Low,AlwaysWearMasks,metropolitan,Republican,High,Expanded Limit to 25 or Fewer,Low
Leaning Republican,Very High,Low,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Even,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Medium,Lifted,High
Heavily Republican,High,High,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,High
Heavily Republican,Very High,Medium,AlwaysWearMasks,metropolitan,Republican,Low,Expanded Limit to Greater Than 25,Very High
Democrat,Low,Very High,AlwaysWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Medium,AlwaysWearMasks,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Medium
Leaning Democrat,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Medium
Even,Very High,High,AlwaysWearMasks,metropolitan,Democratic,Low,Expanded Limit to Greater Than 25,Low
Heavily Democrat,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,Expanded Limit to Greater Than 25,Medium
Leaning Republican,Low,Very High,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to Greater Than 25,Medium
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very High,Very Low,AlwaysWearMasks,micropolitan,Republican,High,Expanded Limit to Greater Than 25,Medium
Heavily Republican,High,Very Low,AlwaysWearMasks,noncore,Republican,Very High,Expanded Limit to Greater Than 25,Low
Heavily Republican,Low,Low,FrequentlyWearMasks,noncore,Republican,Very High,Expanded Limit to Greater Than 25,Medium
Heavily Republican,High,High,FrequentlyWearMasks,noncore,Democratic,Very High,Expanded Limit to Greater Than 25,Very Low
Heavily Republican,Low,Medium,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to Greater Than 25,Very Low
Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,Expanded Limit to Greater Than 25,Low
Even,Medium,Low,AlwaysWearMasks,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Leaning Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,High,Low,RarelyWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Republican,High,Expanded Limit to 25 or Fewer,Very Low
Even,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Low,Medium,AlwaysWearMasks,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,Low,AlwaysWearMasks,noncore,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,High,AlwaysWearMasks,metropolitan,Republican,Low,Expanded Limit to Greater Than 25,Very High
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,Expanded Limit to Greater Than 25,Very High
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Medium,Medium,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Low
Leaning Republican,Low,Very High,AlwaysWearMasks,noncore,Democratic,High,Expanded Limit to Greater Than 25,High
Heavily Republican,High,High,AlwaysWearMasks,noncore,Democratic,Low,Expanded Limit to Greater Than 25,Low
Leaning Democrat,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Low
Republican,Medium,Medium,AlwaysWearMasks,noncore,Democratic,Very High,Expanded Limit to Greater Than 25,Very Low
Republican,Medium,Medium,AlwaysWearMasks,micropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Low,AlwaysWearMasks,micropolitan,Democratic,High,New Limit on Large Gatherings in Place,Medium
Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,Low,Expanded Limit to 25 or Fewer,Low
Heavily Republican,Very High,Low,FrequentlyWearMasks,micropolitan,Republican,Low,Expanded Limit to 25 or Fewer,Very High
Heavily Republican,Medium,Medium,AlwaysWearMasks,metropolitan,Republican,High,Expanded Limit to 25 or Fewer,Very Low
Democrat,High,Very Low,AlwaysWearMasks,metropolitan,Democratic,High,New Limit on Large Gatherings in Place,Very Low
Democrat,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,High,Medium,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Medium
Heavily Republican,Very High,Very Low,AlwaysWearMasks,micropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Very High,Very Low,AlwaysWearMasks,micropolitan,Republican,Low,Lifted,High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Low,Expanded Limit to Greater Than 25,Low
Even,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,>10 People Prohibited,Very Low
Leaning Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,Lifted,Low
Heavily Republican,Very High,Very Low,RarelyWearMasks,micropolitan,Republican,High,Expanded Limit to Greater Than 25,Medium
Heavily Republican,High,Medium,AlwaysWearMasks,noncore,Republican,Very High,Expanded Limit to Greater Than 25,Low
Even,Very High,Low,AlwaysWearMasks,micropolitan,Democratic,Medium,Expanded Limit to Greater Than 25,Very Low
Heavily Republican,Medium,Low,AlwaysWearMasks,noncore,Democratic,High,New Limit on Large Gatherings in Place,Low
Republican,Very High,Very Low,SometimesWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Medium
Leaning Democrat,High,Low,AlwaysWearMasks,metropolitan,Republican,High,Expanded Limit to 25 or Fewer,Low
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Heavily Republican,Low,Medium,AlwaysWearMasks,micropolitan,Republican,Medium,Lifted,Low
Heavily Republican,Medium,Medium,AlwaysWearMasks,metropolitan,Republican,High,Expanded Limit to Greater Than 25,Medium
Heavily Republican,Medium,Very High,AlwaysWearMasks,micropolitan,Republican,Medium,Expanded Limit to Greater Than 25,High
Heavily Republican,Low,High,AlwaysWearMasks,noncore,Republican,Low,Expanded Limit to Greater Than 25,Medium
Heavily Republican,Medium,High,AlwaysWearMasks,noncore,Republican,High,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Medium,AlwaysWearMasks,micropolitan,Democratic,High,>10 People Prohibited,Very Low
Heavily Republican,High,Very Low,AlwaysWearMasks,noncore,Democratic,Low,Lifted,Low
Even,Very High,Low,AlwaysWearMasks,metropolitan,Democratic,Medium,Lifted,High
Heavily Republican,High,Very Low,AlwaysWearMasks,noncore,Democratic,High,Lifted,Very Low
Leaning Democrat,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very Low
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Heavily Republican,Medium,Medium,AlwaysWearMasks,micropolitan,Republican,High,Lifted,Medium
Heavily Republican,Medium,Medium,AlwaysWearMasks,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Leaning Democrat,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,Very Low,AlwaysWearMasks,micropolitan,Republican,High,Lifted,High
Heavily Republican,Low,Very High,AlwaysWearMasks,micropolitan,Republican,High,New Limit on Large Gatherings in Place,Medium
Democrat,Very High,Medium,AlwaysWearMasks,metropolitan,Democratic,Low,Expanded Limit to Greater Than 25,High
Heavily Republican,Low,Medium,AlwaysWearMasks,micropolitan,Republican,Very High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,Medium,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very Low
Even,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,Lifted,Medium
Leaning Republican,High,Low,AlwaysWearMasks,noncore,Democratic,Low,Lifted,High
Heavily Republican,High,Very Low,AlwaysWearMasks,noncore,Republican,Very High,Expanded Limit to Greater Than 25,Very Low
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Democratic,High,New Limit on Large Gatherings in Place,High
Leaning Republican,High,Low,AlwaysWearMasks,metropolitan,Democratic,High,Expanded Limit to Greater Than 25,Very Low
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Medium,Very High,AlwaysWearMasks,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Medium
Heavily Republican,High,High,AlwaysWearMasks,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,High,Medium,AlwaysWearMasks,metropolitan,Republican,Low,Lifted,Very High
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Republican,Low,Expanded Limit to Greater Than 25,Very High
Heavily Republican,Low,High,AlwaysWearMasks,micropolitan,Republican,Medium,Expanded Limit to Greater Than 25,Very High
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Republican,Low,Expanded Limit to Greater Than 25,Medium
Republican,Medium,Very High,AlwaysWearMasks,metropolitan,Republican,High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Medium,High,AlwaysWearMasks,noncore,Republican,High,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Very Low,Medium,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,High
Heavily Democrat,Very Low,Very High,AlwaysWearMasks,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Medium
Democrat,Very High,Low,AlwaysWearMasks,metropolitan,Democratic,Low,Expanded Limit to Greater Than 25,Low
Even,Low,Very Low,AlwaysWearMasks,micropolitan,Democratic,High,>10 People Prohibited,High
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,High,New Limit on Large Gatherings in Place,Very Low
Republican,High,Very Low,AlwaysWearMasks,micropolitan,Democratic,High,Lifted,Medium
Even,Very High,Low,AlwaysWearMasks,metropolitan,Republican,Medium,Lifted,Low
Republican,Very High,Low,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,High,High,AlwaysWearMasks,metropolitan,Democratic,High,New Limit on Large Gatherings in Place,High
Heavily Republican,Low,Medium,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Republican,Low,High,AlwaysWearMasks,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,High,Expanded Limit to 25 or Fewer,Very Low
Leaning Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Republican,Low,Expanded Limit to 25 or Fewer,Medium
Heavily Republican,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,Low
Heavily Republican,Medium,Medium,AlwaysWearMasks,metropolitan,Republican,Very High,Lifted,Medium
Heavily Republican,High,Low,AlwaysWearMasks,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Republican,Very High,High,AlwaysWearMasks,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Medium,Low,AlwaysWearMasks,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Republican,Medium,Low,AlwaysWearMasks,noncore,Republican,Very High,Lifted,High
Even,Very Low,High,AlwaysWearMasks,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,metropolitan,Republican,Low,Expanded Limit to Greater Than 25,High
Heavily Republican,Very Low,Very High,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,High,High,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Low,Very High,AlwaysWearMasks,noncore,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Democrat,Low,Very High,AlwaysWearMasks,metropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very High
Heavily Democrat,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,>10 People Prohibited,Very Low
Heavily Republican,Low,Medium,AlwaysWearMasks,metropolitan,Republican,Very High,New Limit on Large Gatherings in Place,Very Low
Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Low,Lifted,Very High
Heavily Republican,Very High,Very Low,AlwaysWearMasks,noncore,Republican,Low,Expanded Limit to Greater Than 25,Low
Even,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Low
Heavily Republican,Low,High,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Medium,Very Low,FrequentlyWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,High
Heavily Republican,High,Low,AlwaysWearMasks,noncore,Republican,Very High,New Limit on Large Gatherings in Place,High
Heavily Republican,Very High,Low,AlwaysWearMasks,metropolitan,Republican,Medium,Expanded Limit to 25 or Fewer,Medium
Republican,Very High,Very Low,AlwaysWearMasks,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,Medium,AlwaysWearMasks,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
