CPL,MI,HS,CDC,UI,SPL,ICU,BLG,CC
Heavily Republican,Medium,Low,Medium,metropolitan,Democratic,High,Gatherings Prohibited,Very Low
Leaning Democrat,High,Very Low,Low,noncore,Democratic,Low,Lifted,Low
Leaning Democrat,Very High,Very Low,Medium,metropolitan,Democratic,High,Lifted,High
Heavily Republican,High,High,Low,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Low,Very High,High,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,High
Heavily Republican,Very High,High,High,micropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,Low,Low,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Low,Low,micropolitan,Republican,Low,Expanded Limit,Very Low
Heavily Republican,Medium,High,Low,noncore,Republican,Very High,Lifted,Medium
Leaning Republican,Medium,Medium,Medium,metropolitan,Republican,High,Lifted,High
Heavily Republican,Medium,Very Low,Medium,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very High,Very Low,High,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Republican,Medium,High,Medium,metropolitan,Republican,High,Lifted,High
Heavily Democrat,Medium,Low,High,metropolitan,Republican,High,Lifted,Very High
Leaning Republican,Very High,Very Low,Low,metropolitan,Republican,High,Lifted,Very High
Republican,High,Very Low,Medium,metropolitan,Republican,Low,Expanded Limit,Medium
Republican,Low,Very High,Medium,noncore,Republican,Low,New Limit on Large Gatherings in Place,High
Heavily Republican,Very High,Very High,Medium,noncore,Republican,Very High,New Limit on Large Gatherings in Place,High
Heavily Democrat,Very High,Very Low,High,micropolitan,Republican,Medium,Expanded Limit,Very Low
Heavily Democrat,High,Very Low,High,noncore,Republican,High,Expanded Limit,Very Low
Democrat,Very Low,Very High,High,noncore,Democratic,Low,Expanded Limit,Medium
Heavily Republican,Very High,Very Low,High,metropolitan,Democratic,Low,Expanded Limit,Low
Leaning Republican,Medium,Low,Medium,noncore,Democratic,Very High,Lifted,Medium
Heavily Republican,Very High,Very Low,High,metropolitan,Democratic,Low,Lifted,Very High
Democrat,Very High,High,High,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very High
Leaning Republican,Very Low,Low,High,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very Low,Very High,Low,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Leaning Republican,Medium,Medium,High,noncore,Democratic,Medium,Expanded Limit,Medium
Heavily Republican,Very High,Low,Low,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Democrat,Low,Medium,Low,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Medium
Even,Medium,Low,High,metropolitan,Republican,High,Expanded Limit,Medium
Heavily Republican,Low,Medium,Medium,micropolitan,Republican,Medium,Lifted,High
Heavily Democrat,Very High,Low,High,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Even,Very High,Low,High,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,High,Low,Low,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Low,High,Medium,metropolitan,Republican,Low,Expanded Limit,Very High
Heavily Republican,Low,High,High,noncore,Republican,High,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Medium,Medium,High,metropolitan,Republican,High,New Limit on Large Gatherings in Place,Low
Heavily Republican,Low,High,High,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very High,Very Low,Low,metropolitan,Democratic,Low,Lifted,High
Heavily Republican,High,Low,Medium,noncore,Democratic,Low,Lifted,Very High
Heavily Republican,High,Very Low,Low,noncore,Republican,Very High,Expanded Limit,Medium
Heavily Republican,Medium,Medium,High,micropolitan,Democratic,Low,Expanded Limit,Very Low
Republican,Low,Medium,High,micropolitan,Democratic,Medium,Expanded Limit,Very Low
Even,High,Medium,High,micropolitan,Democratic,Medium,Expanded Limit,Very Low
Leaning Democrat,Very High,Low,High,metropolitan,Democratic,Medium,Expanded Limit,Very Low
Republican,High,Low,High,metropolitan,Democratic,Medium,Expanded Limit,Very Low
Heavily Republican,Very Low,Medium,Medium,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Leaning Democrat,Low,Low,High,metropolitan,Democratic,High,New Limit on Large Gatherings in Place,High
Republican,Very High,Very Low,Medium,metropolitan,Republican,Low,Expanded Limit,Low
Heavily Republican,Low,High,Low,micropolitan,Republican,High,Lifted,High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Low,Lifted,High
Heavily Republican,Very High,Medium,High,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,Low,High,metropolitan,Democratic,High,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very High,Very Low,High,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,High,Very Low,High,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Leaning Democrat,Very Low,High,Medium,noncore,Republican,Low,Expanded Limit,Very High
Heavily Republican,Low,Medium,Low,micropolitan,Republican,Medium,Expanded Limit,Medium
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Low,Expanded Limit,Very High
Heavily Republican,Medium,Very High,High,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Medium,Very High,Medium,noncore,Republican,High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,High,High,noncore,Republican,Medium,New Limit on Large Gatherings in Place,Low
Leaning Republican,Very Low,Very High,High,micropolitan,Republican,Medium,New Limit on Large Gatherings in Place,High
Republican,Very High,Medium,Medium,metropolitan,Democratic,Low,Expanded Limit,Medium
Heavily Republican,Low,Low,Medium,metropolitan,Republican,High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very Low,Very High,Medium,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Low,High,Low,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very Low
Republican,Medium,Low,High,metropolitan,Democratic,High,Expanded Limit,Very Low
Republican,Very High,Low,High,metropolitan,Democratic,Low,Expanded Limit,Very Low
Republican,Low,Medium,High,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,High
Heavily Republican,Very High,Low,Low,noncore,Republican,High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,High,Medium,Medium,micropolitan,Republican,Medium,Expanded Limit,Very Low
Heavily Republican,Medium,Very Low,Low,noncore,Republican,Very High,Lifted,Low
Heavily Republican,Very Low,High,Low,noncore,Republican,Very High,Lifted,Medium
Heavily Republican,Medium,Low,Medium,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Democrat,High,High,High,metropolitan,Democratic,High,New Limit on Large Gatherings in Place,High
Republican,Medium,Medium,High,metropolitan,Republican,Medium,Lifted,High
Democrat,Very Low,Very High,Medium,micropolitan,Republican,Low,Lifted,Very High
Republican,Medium,High,Medium,micropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,High,Medium,Low,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Low,Expanded Limit,Medium
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Low,Expanded Limit,Very High
Heavily Republican,Low,Very High,Medium,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,Very High,High,noncore,Republican,Very High,New Limit on Large Gatherings in Place,High
Heavily Republican,Low,Very High,Medium,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Very High,Medium,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,Medium,Medium,metropolitan,Democratic,Very High,Expanded Limit,Very Low
Democrat,Very High,Very Low,High,metropolitan,Democratic,Low,Expanded Limit,Low
Leaning Democrat,Very High,Low,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Very Low
Heavily Republican,Low,Medium,Medium,noncore,Democratic,Low,Lifted,Very High
Leaning Republican,High,Very Low,Medium,micropolitan,Democratic,High,Lifted,High
Heavily Republican,Very High,Very Low,Low,metropolitan,Democratic,Medium,Lifted,High
Heavily Republican,High,Very Low,Low,noncore,Republican,Very High,Expanded Limit,High
Heavily Republican,Very Low,Medium,High,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Leaning Democrat,High,Low,High,metropolitan,Democratic,High,Expanded Limit,Low
Leaning Democrat,Very Low,Very High,High,noncore,Democratic,Low,New Limit on Large Gatherings in Place,High
Heavily Republican,Medium,Low,Low,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Very Low,Low,micropolitan,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Leaning Republican,Very High,Very Low,Medium,metropolitan,Republican,Low,Expanded Limit,Very Low
Heavily Republican,Low,Low,Medium,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Low,Very High,Low,micropolitan,Republican,Medium,Lifted,High
Heavily Republican,High,High,Medium,metropolitan,Republican,Very High,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Low,Very High,High,noncore,Republican,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Low,High,Medium,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Medium,Medium,High,metropolitan,Democratic,Low,Expanded Limit,Low
Heavily Republican,Very High,Low,Medium,metropolitan,Democratic,Low,Expanded Limit,Very Low
Heavily Republican,Very High,High,Medium,metropolitan,Democratic,Low,Expanded Limit,Medium
Leaning Republican,Low,Medium,High,noncore,Democratic,Very High,Gatherings Prohibited,Very Low
Democrat,Very High,Very Low,High,metropolitan,Democratic,Medium,Gatherings Prohibited,Very Low
Heavily Republican,Medium,Low,Low,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very Low
Republican,Low,Medium,Low,noncore,Democratic,Low,Lifted,Medium
Leaning Republican,Medium,Medium,Low,noncore,Democratic,Low,Lifted,Medium
Republican,High,Low,Medium,micropolitan,Democratic,High,Lifted,High
Heavily Republican,Very High,Low,Medium,noncore,Republican,Very High,Expanded Limit,Low
Heavily Republican,Medium,Very High,Low,micropolitan,Democratic,Low,New Limit on Large Gatherings in Place,High
Heavily Republican,High,Low,High,metropolitan,Democratic,Low,Expanded Limit,Very Low
Leaning Republican,Medium,High,High,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,High
Heavily Republican,Very High,Low,Low,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Medium,Low,Low,noncore,Republican,High,Expanded Limit,Very Low
Heavily Republican,Medium,Medium,Low,micropolitan,Republican,Medium,Lifted,High
Leaning Democrat,Very High,Very Low,High,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Republican,High,Very Low,High,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Low
Even,High,Very Low,High,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Medium,Very Low,High,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Leaning Republican,Very High,Very Low,High,metropolitan,Republican,Low,Lifted,High
Heavily Republican,Medium,Low,High,metropolitan,Republican,High,Lifted,High
Heavily Republican,Very Low,Low,Low,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Medium,High,Low,metropolitan,Republican,Low,Expanded Limit,Medium
Heavily Republican,High,Medium,Medium,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Low,High,Low,noncore,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very Low,Very High,High,noncore,Republican,Low,New Limit on Large Gatherings in Place,High
Republican,Medium,High,High,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,High,High,Medium,noncore,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very Low,High,Medium,noncore,Republican,Low,New Limit on Large Gatherings in Place,High
Heavily Republican,Medium,High,High,metropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Medium,High,Medium,noncore,Republican,High,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Very High,Low,Low,micropolitan,Democratic,Low,Lifted,Very High
Republican,High,Low,Medium,noncore,Democratic,High,Lifted,Medium
Heavily Republican,Low,Very High,High,micropolitan,Republican,Medium,Lifted,Very High
Leaning Republican,Very High,Very Low,High,metropolitan,Republican,High,Lifted,Medium
Leaning Democrat,Very High,Medium,High,metropolitan,Republican,Low,Expanded Limit,High
Heavily Republican,Low,High,Medium,noncore,Republican,Low,Expanded Limit,High
Leaning Democrat,Very High,Medium,High,metropolitan,Republican,Low,Expanded Limit,High
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Medium,Expanded Limit,Very High
Heavily Democrat,Very Low,Low,High,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Low
Heavily Republican,Medium,Very High,Medium,metropolitan,Republican,Low,New Limit on Large Gatherings in Place,High
Even,Very High,Very Low,Medium,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Low,Medium,micropolitan,Republican,Medium,Lifted,Low
Heavily Republican,Medium,Low,Low,noncore,Democratic,Low,Lifted,Very High
Heavily Republican,Low,High,Low,micropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Even,Very High,Very Low,Low,metropolitan,Democratic,Low,Gatherings Prohibited,Very High
Republican,Medium,Very Low,Low,noncore,Democratic,Very High,Gatherings Prohibited,Low
Even,Low,Medium,High,micropolitan,Republican,High,New Limit on Large Gatherings in Place,High
Heavily Republican,Low,Very Low,Medium,noncore,Democratic,Very High,Expanded Limit,High
Heavily Republican,Low,Very Low,Low,noncore,Democratic,Very High,Expanded Limit,Very High
Heavily Republican,Low,High,Low,noncore,Democratic,Very High,Expanded Limit,Very High
Heavily Republican,Very High,High,Medium,metropolitan,Republican,Low,Expanded Limit,High
Heavily Republican,Medium,High,Medium,noncore,Republican,Low,Expanded Limit,High
Heavily Democrat,Very High,Very Low,High,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,High,Medium,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,Low,Low,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very High
Heavily Republican,High,Low,Low,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Low,Medium,micropolitan,Republican,High,Lifted,Medium
Heavily Republican,Very High,Medium,Medium,metropolitan,Republican,Medium,Lifted,Low
Heavily Republican,High,Low,Medium,metropolitan,Democratic,Low,Lifted,Very Low
Republican,High,Low,Medium,metropolitan,Democratic,High,Lifted,Medium
Heavily Republican,Medium,Medium,Low,metropolitan,Democratic,High,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very Low,Very High,Medium,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Heavily Democrat,Very High,Very Low,High,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very Low,Very Low,Medium,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Low,Very High,Medium,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Even,Very Low,High,Medium,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,Medium,Medium,metropolitan,Republican,Low,Lifted,Low
Heavily Republican,Very Low,Very High,Medium,noncore,Republican,Very High,Lifted,Very Low
Heavily Republican,Low,Low,Low,noncore,Democratic,Very High,Expanded Limit,Very Low
Heavily Republican,High,Low,Medium,noncore,Republican,Very High,Expanded Limit,Low
Heavily Republican,Medium,Very Low,Low,noncore,Republican,Low,Expanded Limit,Very Low
Heavily Democrat,Medium,High,High,metropolitan,Republican,Medium,Lifted,Very High
Heavily Republican,Low,High,Medium,noncore,Republican,Very High,Expanded Limit,Very High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Low,Expanded Limit,Very High
Heavily Republican,Medium,High,High,metropolitan,Republican,Very High,Expanded Limit,High
Heavily Republican,High,Low,Medium,metropolitan,Democratic,Very High,New Limit on Large Gatherings in Place,Low
Heavily Republican,High,Medium,Low,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Low
Heavily Republican,Medium,Low,Low,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Medium,Medium,metropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Very High,Very Low,Medium,metropolitan,Republican,High,Lifted,High
Heavily Republican,Medium,Low,Medium,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Medium,Low,Low,noncore,Democratic,Very High,Lifted,Low
Heavily Republican,Low,Medium,Low,noncore,Democratic,Very High,Lifted,Low
Heavily Republican,Very Low,Low,Medium,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Very High,Very Low,Low,noncore,Democratic,Very High,Gatherings Prohibited,Low
Heavily Republican,High,Low,Low,noncore,Democratic,Very High,Gatherings Prohibited,Medium
Heavily Republican,Very Low,High,High,micropolitan,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Medium,High,Medium,micropolitan,Republican,High,New Limit on Large Gatherings in Place,Very High
Even,Very Low,High,Medium,micropolitan,Republican,High,New Limit on Large Gatherings in Place,High
Heavily Democrat,Very Low,Very High,High,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,Very High,Low,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,High,Medium,noncore,Republican,Low,Lifted,Medium
Heavily Republican,Low,High,Low,micropolitan,Republican,High,Lifted,Very High
Heavily Republican,High,Low,Low,noncore,Republican,Low,Expanded Limit,High
Heavily Republican,Medium,Very Low,Low,noncore,Republican,Very High,Expanded Limit,Medium
Heavily Democrat,Low,Medium,High,metropolitan,Republican,High,Expanded Limit,Very High
Leaning Republican,Very Low,Very High,High,noncore,Republican,Low,Expanded Limit,Low
Heavily Democrat,Very High,Medium,Medium,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,High
Heavily Republican,Medium,Low,Low,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very High,Very Low,Medium,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Very High,Medium,Low,metropolitan,Republican,Very High,Lifted,Medium
Heavily Republican,High,Low,Medium,micropolitan,Republican,High,Lifted,Low
Heavily Republican,Very High,Very Low,Low,noncore,Republican,Very High,New Limit on Large Gatherings in Place,High
Heavily Republican,High,Low,Low,micropolitan,Republican,Very High,New Limit on Large Gatherings in Place,High
Leaning Democrat,Very High,Low,Medium,metropolitan,Republican,Medium,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Medium,High,metropolitan,Republican,High,Lifted,Low
Heavily Republican,Low,Medium,Medium,noncore,Democratic,High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very High,Very Low,Low,metropolitan,Democratic,Low,Gatherings Prohibited,Medium
Heavily Republican,High,Very Low,Low,noncore,Democratic,Very High,Gatherings Prohibited,Low
Republican,High,Very Low,Low,noncore,Democratic,Very High,Gatherings Prohibited,Very Low
Heavily Republican,Medium,Medium,Low,noncore,Republican,Very High,Lifted,High
Heavily Republican,Low,Very High,Low,noncore,Democratic,Very High,Expanded Limit,Low
Republican,Very Low,High,Medium,micropolitan,Republican,High,Expanded Limit,Very High
Heavily Republican,Low,High,Low,metropolitan,Republican,High,Expanded Limit,Very High
Heavily Republican,Medium,Very High,High,metropolitan,Republican,Low,Expanded Limit,Medium
Heavily Republican,Medium,High,Low,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Medium,Low,micropolitan,Republican,Medium,Lifted,High
Republican,Medium,Low,Medium,metropolitan,Republican,High,Lifted,High
Heavily Republican,High,Very Low,Low,noncore,Republican,Very High,New Limit on Large Gatherings in Place,High
Heavily Republican,Medium,Low,Low,noncore,Republican,Very High,New Limit on Large Gatherings in Place,High
Heavily Republican,Medium,Low,Low,noncore,Democratic,Very High,Lifted,Very High
Republican,Low,Medium,Low,micropolitan,Democratic,Very High,Lifted,Very High
Heavily Democrat,Low,Very High,High,metropolitan,Democratic,High,Lifted,Very High
Heavily Republican,Very Low,Very High,Medium,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very Low,Very High,Medium,micropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very High,Very Low,High,metropolitan,Republican,Low,Lifted,Low
Leaning Republican,Very High,Very Low,High,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Republican,Medium,High,Low,noncore,Democratic,Very High,Gatherings Prohibited,Very High
Heavily Republican,Very Low,High,Medium,metropolitan,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,High,Medium,Low,noncore,Republican,Very High,Lifted,Very High
Heavily Republican,Medium,Low,Low,noncore,Republican,Very High,Expanded Limit,Very Low
Heavily Republican,Very High,Very Low,Medium,metropolitan,Republican,Medium,Lifted,Medium
Leaning Republican,Medium,Low,High,metropolitan,Republican,High,Lifted,Medium
Heavily Republican,Very High,Very Low,Medium,metropolitan,Republican,Low,Expanded Limit,High
Heavily Republican,Low,Medium,Medium,noncore,Republican,Medium,Expanded Limit,High
Heavily Republican,Medium,Medium,Low,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,High
Leaning Republican,Very High,Very Low,Medium,metropolitan,Republican,High,New Limit on Large Gatherings in Place,High
Heavily Republican,Very Low,Medium,Low,noncore,Republican,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Low,Low,Low,noncore,Democratic,Very High,Lifted,Very Low
Republican,Very High,Low,Medium,metropolitan,Democratic,Low,Lifted,High
Heavily Republican,High,Low,Low,micropolitan,Democratic,High,Lifted,Low
Heavily Republican,Very Low,Very High,High,noncore,Democratic,Medium,New Limit on Large Gatherings in Place,Low
Heavily Republican,High,Medium,Medium,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very Low,High,Medium,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Even,Very High,Low,High,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Very High,Low,Medium,metropolitan,Democratic,Low,Gatherings Prohibited,Low
Even,Very High,Very Low,Low,metropolitan,Democratic,High,Gatherings Prohibited,Medium
Heavily Republican,High,Very Low,Medium,noncore,Democratic,Very High,Gatherings Prohibited,Very High
Leaning Democrat,Very Low,Very High,Medium,micropolitan,Republican,High,New Limit on Large Gatherings in Place,High
Republican,Very Low,High,Medium,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,High,Medium,Medium,metropolitan,Republican,Low,Lifted,Medium
Heavily Republican,Medium,Very Low,Low,noncore,Democratic,Very High,Expanded Limit,Low
Heavily Republican,Low,Very Low,Low,noncore,Republican,Low,Expanded Limit,Very Low
Heavily Republican,Very High,Very Low,Low,noncore,Republican,Low,Expanded Limit,Low
Even,Very High,Low,Medium,metropolitan,Republican,High,Expanded Limit,Very High
Even,Very Low,Very High,High,noncore,Republican,Low,Expanded Limit,High
Heavily Republican,Low,Very High,Medium,noncore,Republican,Low,Expanded Limit,Low
Heavily Republican,Low,High,Medium,micropolitan,Republican,High,Expanded Limit,Very High
Heavily Republican,Low,Very Low,Medium,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,High,Very Low,Medium,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very High,Low,High,metropolitan,Republican,Low,Lifted,Very Low
Heavily Republican,Medium,Low,Low,micropolitan,Republican,Medium,Lifted,Very Low
Heavily Republican,Very High,Low,Low,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Very Low,Medium,metropolitan,Democratic,Low,Lifted,Low
Heavily Republican,Very Low,Very High,Medium,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Low,High,Low,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Medium,High,Low,micropolitan,Democratic,Very High,New Limit on Large Gatherings in Place,Low
Republican,Very High,Very Low,High,metropolitan,Republican,Low,Lifted,Very Low
Heavily Republican,Very High,Low,Low,micropolitan,Democratic,High,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Very Low,Low,High,noncore,Democratic,Low,New Limit on Large Gatherings in Place,Very Low
Heavily Republican,Medium,High,Low,noncore,Democratic,Very High,Gatherings Prohibited,Low
Republican,Very Low,Very High,Medium,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,High
Leaning Republican,Medium,Low,Medium,micropolitan,Republican,High,New Limit on Large Gatherings in Place,Very High
Leaning Republican,Very Low,High,Medium,noncore,Republican,Low,New Limit on Large Gatherings in Place,Very High
Leaning Republican,Very High,Very Low,High,metropolitan,Republican,High,Lifted,Very Low
Heavily Republican,Medium,Low,Medium,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,Very High,Low,noncore,Republican,Low,Lifted,High
Heavily Republican,Very Low,Very Low,Low,noncore,Republican,Very High,Expanded Limit,Very Low
Even,Medium,Low,High,metropolitan,Republican,High,Lifted,Medium
Heavily Republican,Very Low,Very High,Low,micropolitan,Republican,Medium,Expanded Limit,Very High
Heavily Republican,Very High,Low,High,metropolitan,Republican,Low,Expanded Limit,Medium
Heavily Republican,Medium,High,Low,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Democrat,Medium,High,Medium,metropolitan,Republican,High,Lifted,Medium
Leaning Republican,Very High,Very Low,Medium,micropolitan,Republican,Very High,New Limit on Large Gatherings in Place,High
Republican,High,Very Low,Low,noncore,Republican,High,New Limit on Large Gatherings in Place,Medium
Leaning Republican,High,Very Low,Low,noncore,Republican,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,Low,Very Low,Low,noncore,Democratic,Very High,Lifted,Medium
Republican,Very Low,Medium,High,noncore,Democratic,Very High,New Limit on Large Gatherings in Place,Very Low
Leaning Republican,Medium,Low,Medium,metropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Medium
Heavily Republican,High,Very Low,Low,micropolitan,Democratic,High,Gatherings Prohibited,Low
Heavily Republican,Low,High,Medium,micropolitan,Republican,Low,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very Low,Very High,High,noncore,Republican,High,New Limit on Large Gatherings in Place,Very High
Heavily Democrat,Very Low,Very High,Medium,noncore,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Very High,Very Low,Medium,micropolitan,Democratic,Low,Expanded Limit,Low
Heavily Republican,Medium,Low,Medium,micropolitan,Republican,Very High,Expanded Limit,Medium
Leaning Democrat,Very Low,Medium,High,micropolitan,Democratic,Medium,New Limit on Large Gatherings in Place,Very Low
Leaning Republican,Medium,Medium,Medium,metropolitan,Democratic,Low,New Limit on Large Gatherings in Place,Low
Heavily Republican,Very High,Low,Low,micropolitan,Republican,Very High,New Limit on Large Gatherings in Place,Very High
Heavily Republican,Low,High,Low,micropolitan,Republican,Medium,Expanded Limit,Very Low
Even,Medium,Low,Medium,metropolitan,Republican,High,Expanded Limit,Low
